其他操作,替换完成,xpath-点击,【xpath】,account_01,Unnamed: 5,请填写文本框内容,Unnamed: 7,是,Unnamed: 9,Unnamed: 10
生成用例,,xpath-切换框架,【xpath】,account_02,,请填写url,,否,,
,,xpath-文本框输入,【xpath】【内容输入】在文本框后加入可展示时间戳%H:%M:%S，可以直接输入变量获取值，前提要获取变量，例：文本内容【变量1】%H:%M:%S,account_03,,,,,,替换完成
,,xpath-上传文件,"【xpath】【内容输入】规则:xxx.cc,xxx.cc",account_04,,,,,,替换编号
,,xpath-滑动滚动条,【xpath】,account_05,,,,,,
,,xpath-清空文本框,【xpath】,,,,,,,
,,xpath-填写时间控件,"【xpath】【内容输入】,根据实际情况填写时间控件格式",,,,,,,
,,xpath-获取文本,"【xpath】【内容输入】
1、有两种填写格式，【变量1】和《变量1》，【变量1】只会获取截取内容，包含截取头和截取尾，《变量1》则会不包含截取头和截取尾
2、有两种填写方式①获取全部文本，可以多个变量获取不同文本，例：【变量1】，②指定截取部分文本，例【变量1】,【变量2】-->截取头，截取尾
注：只在当前sheet有效，一次执行填写一个变量，并且不能截取多个值",,,,,,,
,,其他-输入网址,【其他操作】【内容输入】，填写url,,,,,,,
,,其他-切换主框架,【其他操作】,,,,,,,
,,其他-刷新页面,【其他操作】,,,,,,,
,,其他-关闭浏览器,【其他操作】,,,,,,,
,,其他-切换窗口,【其他操作】【内容输入】，填写1代表第一个窗口，填写2代表第二个窗口,,,,,,,
,,其他-关闭窗口或标签,【其他操作】【内容输入】，填写1代表第一个窗口，填写2代表第二个窗口,,,,,,,
,,其他-清除句柄,【其他操作】【内容输入】，填写1代表第一个句柄，填写2代表第二个句柄,,,,,,,
,,其他-新建标签,【其他操作】,,,,,,,
,,其他-新建窗口,【其他操作】,,,,,,,
,,其他-强制等待,【其他操作】【内容输入】，填写数字,,,,,,,
,,其他-坐标-点击,"【其他操作】【内容输入】，填写坐标，例：100,200",,,,,,,
,,其他-坐标-文本框输入,"【其他操作】【内容输入】，填写坐标和内容，例：x,y-->输入内容，在文本框后加入可展示时间戳%H:%M:%S，可以直接输入变量获取值，前提要获取变量，例：文本内容【变量1】%H:%M:%S",,,,,,,
,,其他-坐标-获取文本,"【其他操作】【内容输入】，填写格式：x,y-->【变量】>>>截取值，功能和获取文本的功能一样，有两种填写方式，【变量1】截取部分包括头和尾，《变量1》截取部分不包括头和尾，可以多个变量获取文本",,,,,,,
,,其他-图形交互_点击,【其他操作】【内容输入】，填写交互图片文件名;点击图片文件名,,,,,,,
